item_id,order_id,product_id,product_name,quantity,unit_price,category,supplier
1,1001,101,Laptop,1,899.99,Electronics,TechCorp
2,1001,102,Mouse,2,25.00,Electronics,TechCorp
3,1002,103,Keyboard,1,79.50,Electronics,TechCorp
4,1002,104,Monitor,1,299.99,Electronics,DisplayPro
5,1003,101,Laptop,1,899.99,Electronics,TechCorp
6,1004,105,Desk Chair,1,199.99,Furniture,ComfortSeats
7,1005,106,Standing Desk,1,549.00,Furniture,DeskMasters
8,1006,107,USB Cable,3,9.99,Electronics,TechCorp
9,1007,108,Webcam,1,129.99,Electronics,TechCorp
10,1007,109,Microphone,1,89.99,Electronics,AudioPro
11,1008,104,Monitor,2,299.99,Electronics,DisplayPro
12,1009,110,Headphones,1,199.99,Electronics,AudioPro
13,1010,111,Printer,1,349.99,Electronics,PrintSolutions
14,1011,112,Gaming Mouse,1,79.99,Electronics,TechCorp
15,1011,113,Gaming Keyboard,1,149.99,Electronics,TechCorp
16,1011,114,Mouse Pad,1,29.99,Electronics,TechCorp
17,1012,115,USB Hub,2,39.99,Electronics,TechCorp
18,1013,116,External SSD,1,179.99,Electronics,StoragePro
19,1013,117,HDMI Cable,2,19.99,Electronics,TechCorp
20,1014,118,Phone Case,1,29.99,Accessories,CaseMakers
21,1014,119,Screen Protector,2,14.99,Accessories,CaseMakers
22,1015,120,Tablet,1,425.00,Electronics,TechCorp
